;Acre;Alagoas;Amapá;Amazonas;Bahia;Ceará;Distrito Federal;Espirito Santo;Goiás;Maranhão;Mato Grosso;Mato Grosso do Sul;Minas Gerais;Pará;Paraíba;Paraná;Pernambuco;Piauí;Rio de Janeiro;Rio Grande do Norte;Rio Grande do Sul;Rondônia;Roraima;Santa Catarina;São Paulo;Sergipe;Tocantins;Brasil
2003;15;67;15;35;152;103;62;141;143;69;90;64;376;93;35;227;274;32;524;32;177;51;6;69;1029;34;22;3937
2004;10;75;15;49;195;123;52;137;142;53;99;55;373;93;60;249;276;26;505;21;195;33;7;79;861;29;18;3830
2005;13;74;15;48;211;143;47;149;133;58;89;70;377;127;62;239;282;40;505;41;209;49;11;68;775;28;21;3884
2006;15;106;13;53;243;134;49;183;143;65;70;55;391;140;62;249;310;32;503;42;162;51;13;91;785;40;22;4022
2007;18;109;12;52;249;126;55;186;139;63;95;67;403;144;69;241;290;35;416;42;193;28;19;70;595;34;28;3778
2008;13;83;13;63;315;117;64;190;160;81;86;60;377;169;87;306;298;38;373;59;219;39;15;86;667;30;21;4029
2009;16;111;12;67;345;138;76;216;165;87;94;65;402;180;98;331;304;31;350;57;225;51;24;93;660;36;31;4265
2010;19;137;16;65;438;173;66;174;182;117;80;76;409;231;119;338;247;40;339;71;227;37;11;110;678;43;34;4477
2011;18;138;19;81;449;189;79;167;262;131;87;78;457;186;140;283;261;32;366;76;202;48;10;74;580;60;49;4522
2012;16;133;17;118;437;219;77;163;247;114;100;77;460;232;137;321;216;46;365;64;247;51;17;104;640;62;49;4729
2013;32;142;19;96;423;278;78;171;271;131;91;75;427;231;126;283;256;47;387;89;210;52;36;102;620;56;40;4769
2014;20;125;20;80;385;285;60;140;290;152;111;85;403;249;117;284;239;63;464;102;250;56;24;111;612;74;35;4836
2015;19;95;18;115;382;254;58;141;255;148;118;58;415;261;111;244;233;67;387;92;284;63;29;97;559;70;48;4621
2016;23;101;17;116;441;218;64;104;238;159;104;80;375;294;107;238;282;50;428;100;308;54;25;107;507;60;45;4645
2017;34;111;27;115;487;374;46;151;256;127;92;61;388;311;88;247;310;52;401;148;302;62;27;109;495;77;38;4936
